unique_id,soil_ph,soil_organic_carbon_gkg,soil_nitrogen_gkg,soil_clay_pct,soil_sand_pct,soil_cec_cmolkg,soil_bulk_density_gcm3
08b23e43,6.0,15.444646771097048,1.225540928492468,38.0,36.0,13.879731724872835,1.3
08bd8804,5.5,12.463738035001692,1.2933187402641826,39.0,38.0,10.0231763806416,1.3
08e08db0,5.8,17.17414536944306,1.2479079866764715,42.0,37.0,10.0231763806416,1.15
08ec3aa5,5.4,23.532530197109352,2.3871877336213347,47.0,25.0,11.182493960703471,1.15
08f248a3,5.7,17.17414536944306,2.158192909689767,39.0,41.0,15.444646771097048,1.12
090e3d3e,5.6,12.463738035001692,1.2704998375324057,42.0,33.0,8.974182454814718,1.23
091d72e3,5.9,10.0231763806416,0.9738777322304476,34.0,50.0,10.0231763806416,1.3
092a1e07,,,,,,,
0939126b,5.6,17.17414536944306,1.6116964734231178,44.0,27.0,12.463738035001692,1.2
095910c2,5.6,15.444646771097048,1.801065834699079,47.0,32.0,12.463738035001692,1.21
09603ce9,5.5,13.879731724872835,1.2704998375324057,39.0,32.0,10.0231763806416,1.22
0966e334,5.8,19.085536923187668,1.7731947639642978,42.0,39.0,13.879731724872835,1.13
096f8c87,5.6,17.17414536944306,2.034358394435676,43.0,31.0,12.463738035001692,1.15
097ca194,5.5,15.444646771097048,1.4843225333848165,36.0,44.0,13.879731724872835,1.2
0995c07c,5.7,8.025013499434122,0.8039884153978569,27.0,54.0,8.025013499434122,1.35
099735f8,,,,,,,
09a35527,5.8,19.085536923187668,1.857651118063164,41.0,43.0,12.463738035001692,1.14
09a9bd15,5.9,11.182493960703471,1.1170000166126748,37.0,41.0,10.0231763806416,1.26
09b04751,6.0,8.974182454814718,0.8964808793049515,26.0,55.0,8.974182454814718,1.29
09b2d02d,6.0,8.974182454814718,0.9738777322304476,32.0,50.0,8.974182454814718,1.26
09cbf10b,5.4,11.182493960703471,0.8964808793049515,40.0,35.0,8.974182454814718,1.28
09ee070e,5.5,23.532530197109352,2.353484652549024,47.0,28.0,12.463738035001692,1.14
0a012dbf,5.5,11.182493960703471,0.9738777322304476,42.0,32.0,8.025013499434122,1.33
0a08acbf,5.8,15.444646771097048,1.3869108535242765,42.0,37.0,12.463738035001692,1.13
0a108302,5.7,17.17414536944306,1.5599814183292713,40.0,41.0,10.0231763806416,1.19
0a333336,5.6,15.444646771097048,1.4351296512898744,50.0,35.0,8.974182454814718,1.16
