site_id,soil_ph,soil_organic_carbon_gkg,soil_nitrogen_gkg,soil_clay_pct,soil_sand_pct,soil_cec_cmolkg,soil_bulk_density_gcm3
5699,5.3,19.085536923187668,2.0041660239464334,48,33,13.879731724872837,1.13
5700,5.4,17.17414536944306,1.8863709892679585,48,37,12.463738035001692,1.13
5701,5.5,19.085536923187668,2.1267683651861553,46,30,13.879731724872837,1.13
5702,5.3,21.197951281441636,2.0648542032930024,48,30,13.879731724872837,1.15
5703,5.4,21.197951281441636,2.3201169227365472,45,37,13.879731724872837,1.13
5704,5.3,21.197951281441636,2.4556134647626755,47,34,15.444646771097048,1.14
5705,5.3,21.197951281441636,2.2543742028896707,48,28,12.463738035001692,1.13
5706,5.3,21.197951281441636,2.4556134647626755,47,34,15.444646771097048,1.14
5707,5.4,21.197951281441636,2.3201169227365472,44,34,13.879731724872837,1.12
5708,5.3,21.197951281441636,2.3534846525490236,47,34,13.879731724872837,1.1
5709,5.3,19.085536923187668,2.2219926385284996,49,34,13.879731724872837,1.13
5710,5.3,21.197951281441636,2.3534846525490236,47,34,13.879731724872837,1.1
5711,5.4,19.085536923187668,2.2543742028896707,47,32,13.879731724872837,1.11
5712,5.7,12.463738035001692,1.4351296512898744,33,43,13.879731724872837,1.19
5713,5.5,15.444646771097048,1.8576511180631639,44,35,11.182493960703473,1.17
5714,5.5,15.444646771097048,1.9153794999769969,48,36,12.463738035001692,1.12
5715,5.5,23.532530197109352,2.3534846525490236,46,32,12.463738035001692,1.11
5716,5.4,19.085536923187668,2.3534846525490236,43,29,12.463738035001692,1.13
5717,5.7,15.444646771097048,1.8576511180631639,41,34,11.182493960703473,1.17
5718,5.4,21.197951281441636,2.4556134647626755,42,32,12.463738035001692,1.12
5719,5.4,19.085536923187668,2.095656500124711,41,32,11.182493960703473,1.16
5720,5.4,19.085536923187668,2.158192909689767,42,31,11.182493960703473,1.1
5721,5.3,17.17414536944306,1.9446795510655241,49,28,12.463738035001692,1.12
5722,5.4,19.085536923187668,2.1267683651861553,48,26,13.879731724872837,1.17
5723,5.5,13.879731724872837,1.801065834699079,42,36,11.182493960703473,1.13
5724,5.6,13.879731724872837,1.5599814183292713,34,42,13.879731724872837,1.22
5725,5.6,13.879731724872837,1.5599814183292713,38,40,10.023176380641601,1.17
5726,5.4,19.085536923187668,2.1267683651861553,48,24,13.879731724872837,1.17
5727,5.4,17.17414536944306,1.9742740725630656,42,39,13.879731724872837,1.14
5728,5.4,17.17414536944306,1.801065834699079,46,28,12.463738035001692,1.11
5729,5.4,19.085536923187668,1.9153794999769969,51,29,12.463738035001692,1.1
5730,5.5,17.17414536944306,1.718281828459045,46,28,12.463738035001692,1.17
5731,5.7,13.879731724872837,1.509290389936298,46,37,12.463738035001692,1.22
5732,5.5,15.444646771097048,1.9153794999769969,47,35,12.463738035001692,1.19
5733,5.4,17.17414536944306,1.8863709892679585,45,36,12.463738035001692,1.18
5734,5.6,17.17414536944306,1.6379444593541526,44,29,12.463738035001692,1.2
5735,5.4,19.085536923187668,2.1899332761161845,47,29,12.463738035001692,1.15
5736,5.5,17.17414536944306,1.718281828459045,43,31,12.463738035001692,1.21
5737,5.6,17.17414536944306,1.6116964734231178,45,26,13.879731724872837,1.2
5738,5.6,12.463738035001692,1.2704998375324057,38,37,10.023176380641601,1.2
5739,5.4,15.444646771097048,1.6116964734231178,48,36,12.463738035001692,1.17
5740,5.5,15.444646771097048,1.6644562419294169,48,35,12.463738035001692,1.15
5741,5.4,19.085536923187668,2.158192909689767,49,26,12.463738035001692,1.13
5742,5.7,13.879731724872837,1.1382762204968184,41,40,8.974182454814718,1.16
5743,5.6,15.444646771097048,1.1382762204968184,38,42,10.023176380641601,1.15
5744,5.7,13.879731724872837,1.0750806076741224,42,40,8.974182454814718,1.2
5745,5.6,13.879731724872837,1.1597662537849152,40,36,8.025013499434122,1.21
5746,5.8,12.463738035001692,1.0544332106438876,37,45,8.025013499434122,1.24
5747,5.6,13.879731724872837,1.203396426255937,38,39,10.023176380641601,1.18
5748,5.7,13.879731724872837,1.1597662537849152,40,37,8.025013499434122,1.2
5749,5.7,13.879731724872837,1.1597662537849152,40,41,8.974182454814718,1.15
5750,5.6,13.879731724872837,1.1382762204968184,40,40,8.974182454814718,1.2
5751,5.6,15.444646771097048,1.2933187402641826,41,38,8.974182454814718,1.14
5752,5.6,15.444646771097048,1.2933187402641826,41,36,8.025013499434122,1.21
5753,5.7,13.879731724872837,1.0544332106438876,39,43,8.025013499434122,1.21
5754,5.6,13.879731724872837,1.1170000166126748,39,39,8.974182454814718,1.17
5755,5.6,13.879731724872837,1.181472265498201,40,36,8.974182454814718,1.16
5756,5.6,15.444646771097048,1.3869108535242765,41,37,8.974182454814718,1.18
5757,5.7,15.444646771097048,1.3396468519259908,39,38,10.023176380641601,1.2
